fiscalYear,cash,bonus,total
2080/2081,0.25,4.75,5.0
2079/2080,0.25,4.75,5.0
2078/2079,0.25,4.75,5.0
2076/2077,0.0,36.5,36.5
2074/2075,5.0,5.0,10.0
2073/2074,0.6,10.0,10.6
