fiscalYear,cash,bonus,total
2080/2081,5.0,15,20.0
2079/2080,15.0,10,25.0
2078/2079,10.0,60,70.0
2077/2078,25.0,75,100.0
2076/2077,50.0,50,100.0
2075/2076,52.63,50,102.63
2074/2075,68.42,0,68.42
2074/2075,68.42,0,68.42
2073/2074,21.05,0,21.05
2072/2073,20.0,0,20.0
2071/2072,20.0,0,20.0
2070/2071,10.52,0,10.52
