fiscalYear,cash,bonus,total
2077/2078,0.45,8.5,8.95
2076/2077,0.63,12.0,12.63
2075/2076,0.9,17.1,18.0
2074/2075,17.0,0.0,17.0
2073/2074,1.58,30.12,31.700000000000003
2072/2073,1.31,25.0,26.31
2071/2072,1.36,26.0,27.36
2070/2071,1.84,35.0,36.84
2069/2070,2.64,50.0,52.64
2068/2069,0.0,25.0,25.0
2067/2068,25.0,0.0,25.0
