fiscalYear,cash,bonus,total
2080/2081,2.0,10.0,12
2079/2080,5.0,10.0,15
2078/2079,7.5,7.5,15
2077/2078,7.5,7.5,15
2076/2077,10.0,10.0,20
2075/2076,5.0,20.0,25
2074/2075,5.0,20.0,25
2073/2074,10.0,15.0,25
2072/2073,10.0,10.0,20
2071/2072,12.0,15.0,27
2070/2071,15.0,20.0,35
2069/2070,10.0,30.0,40
2068/2069,20.0,30.0,50
2067/2068,30.0,40.0,70
