fiscalYear,cash,bonus,total
2078/2079,12.5,0.0,12.5
2077/2078,2.67,6.0,8.67
2076/2077,3.15,10.85,14.0
2075/2076,0.52,10.0,10.52
2074/2075,0.0,8.5,8.5
2073/2074,0.0,12.75,12.75
2072/2073,1.1,21.0,22.1
2071/2072,0.58,11.0,11.58
2070/2071,1.74,33.0,34.74
2069/2070,0.0,14.0,14.0
2068/2069,7.0,0.0,7.0
2067/2068,0.44,8.0,8.44
