fiscalYear,cash,bonus,total
2080/2081,5.0,3.0,8.0
2079/2080,0.55,10.5,11.05
2078/2079,0.7,13.3,14.0
2077/2078,0.57,10.93,11.5
2076/2077,0.0,13.0,13.0
2075/2076,0.0,15.0,15.0
2074/2075,0.93,17.7,18.63
2073/2074,0.0,25.0,25.0
2072/2073,0.0,27.0,27.0
2071/2072,1.42,27.0,28.42
2070/2071,12.0,10.0,22.0
2069/2070,0.0,20.0,20.0
