fiscalYear,cash,bonus,total
2080/2081,6.0,7.0,13.0
2079/2080,0.7368,14.0,14.7368
2078/2079,1.3158,25.0,26.3158
2077/2078,1.5789,30.0,31.5789
2076/2077,8.8947,9.0,17.8947
2075/2076,1.16,22.0,23.16
2074/2075,1.16,22.0,23.16
2073/2074,1.16,22.06,23.22
2072/2073,1.157,22.0,23.157
2071/2072,1.15,21.85,23.0
2070/2071,6.84,35.0,41.84
2069/2070,2.63,50.0,52.63
2068/2069,0.0,38.89,38.89
2067/2068,0.0,35.0,35.0
