fiscalYear,cash,bonus,total
2080/2081,0.45,8.55,9.0
2079/2080,0.75,14.25,15.0
2078/2079,10.53,0.0,10.53
2077/2078,29.0,0.0,29.0
2076/2077,24.21,0.0,24.21
2075/2076,15.78,0.0,15.78
2074/2075,15.78,0.0,15.78
