fiscalYear,cash,bonus,total
2080/2081,5.0,7.0,12.0
2078/2079,0.2321,4.41,4.6421
2077/2078,0.97,18.5,19.47
2076/2077,0.23,4.4,4.630000000000001
2075/2076,6.8,0.0,6.8
2074/2075,8.0,1.5,9.5
2073/2074,6.5,5.5,12.0
