fiscalYear,cash,bonus,total
2080/2081,6.35,0.0,6.35
2079/2080,5.263,0.0,5.263
2077/2078,6.0,40.0,46.0
2076/2077,5.5,18.0,23.5
2075/2076,9.8,1.75,11.55
2074/2075,2.9,0.0,2.9
2073/2074,0.32,5.71,6.03
2072/2073,0.74,14.0,14.74
2071/2072,0.6,11.4,12.0
2070/2071,7.5,0.0,7.5
2068/2069,8.0,0.0,8.0
2067/2068,0.0,12.5,12.5
