fiscalYear,cash,bonus,total
2080/2081,0.5,9.5,10.0
2079/2080,0.5263,10.0,10.526299999999999
2078/2079,11.0526,10.0,21.052599999999998
2077/2078,1.053,20.0,21.053
2076/2077,5.0,15.0,20.0
2075/2076,15.0,30.0,45.0
2074/2075,10.0,10.0,20.0
2073/2074,15.0,16.0,31.0
2072/2073,17.63,35.0,52.629999999999995
2071/2072,2.63,50.0,52.63
2070/2071,15.0,35.0,50.0
2069/2070,15.0,20.0,35.0
2068/2069,25.0,0.0,25.0
2067/2068,28.0,0.0,28.0
