fiscalYear,cash,bonus,total
2080/2081,0.47,9.0,9.47
2079/2080,7.5,7.5,15.0
2078/2079,1.0,19.0,20.0
2077/2078,0.53,10.0,10.53
2076/2077,4.1842,9.5,13.6842
2075/2076,0.89,17.0,17.89
2074/2075,12.6316,0.0,12.6316
2073/2074,0.79,15.0,15.79
2072/2073,0.79,15.0,15.79
2071/2072,0.79,15.0,15.79
2070/2071,15.79,0.0,15.79
2069/2070,15.0,0.0,15.0
2068/2069,15.79,0.0,15.79
