fiscalYear,cash,bonus,total
2078/2079,0.75,14.25,15.0
2077/2078,0.0,26.0,26.0
2076/2077,1.05,20.0,21.05
2075/2076,11.579,20.0,31.579
2074/2075,1.05,20.0,21.05
2073/2074,10.0,50.0,60.0
