fiscalYear,cash,bonus,total
2077/2078,0.7895,15,15.7895
2075/2076,1.16,22,23.16
2074/2075,1.16,22,23.16
2073/2074,0.0,18,18.0
2072/2073,0.0,10,10.0
2071/2072,0.0,25,25.0
2070/2071,7.0,70,77.0
2068/2069,0.0,50,50.0
2067/2068,35.0,0,35.0
