fiscalYear,cash,bonus,total
2080/2081,0.42,8,8.42
2079/2080,0.37,7,7.37
2078/2079,0.0263,5,5.0263
2077/2078,0.3684,7,7.3684
2076/2077,0.7895,15,15.7895
