fiscalYear,cash,bonus,total
2080/2081,0.5,9.5,10.0
2079/2080,0.4526,8.6,9.0526
2078/2079,3.0,8.0,11.0
2077/2078,0.5263,10.0,10.526299999999999
2076/2077,3.63,9.0,12.629999999999999
2075/2076,10.0,6.0,16.0
2074/2075,0.53,10.0,10.53
2073/2074,0.68,13.0,13.68
2072/2073,0.79,15.0,15.79
