fiscalYear,cash,bonus,total
2075/2076,0.6049,11.4851,12.09
2073/2074,0.3132,5.95,6.2632
2072/2073,0.88,16.8,17.68
2071/2072,0.66,12.5,13.16
2070/2071,0.397,7.5,7.897
2069/2070,4.5,0.0,4.5
