fiscalYear,cash,bonus,total
2080/2081,0.7,13.3,14.0
2078/2079,5.0,25.0,30.0
2077/2078,7.0,35.0,42.0
2076/2077,6.58,25.0,31.58
2075/2076,12.5,32.5,45.0
2074/2075,20.0,25.0,45.0
2073/2074,15.0,50.0,65.0
