fiscalYear,cash,bonus,total
2080/2081,5.0,0,5.0
2079/2080,5.0,0,5.0
2078/2079,7.5,5,12.5
2077/2078,10.0,10,20.0
2076/2077,15.0,10,25.0
2075/2076,18.0,10,28.0
2074/2075,18.0,10,28.0
2073/2074,20.0,0,20.0
2072/2073,20.0,7,27.0
2071/2072,20.0,0,20.0
2070/2071,15.0,0,15.0
2069/2070,18.0,0,18.0
2068/2069,25.0,0,25.0
2067/2068,25.0,0,25.0
