fiscalYear,cash,bonus,total
2081/2082,11.0,0,11.0
2080/2081,11.0,0,11.0
2079/2080,11.0,4,15.0
2078/2079,8.42,0,8.42
2076/2077,10.0,0,10.0
2075/2076,12.0,0,12.0
2074/2075,12.631,0,12.631
2073/2074,7.36,0,7.36
