fiscalYear,cash,bonus,total
2079/2080,0.5132,9.75,10.2632
2078/2079,0.7105,13.5,14.2105
2077/2078,0.925,17.575,18.5
2076/2077,4.26,11.25,15.51
2075/2076,0.93,17.6,18.53
2074/2075,0.96,18.25,19.21
2073/2074,1.05,20.0,21.05
2072/2073,0.0,34.0,34.0
2071/2072,1.63,31.0,32.63
2070/2071,2.0,38.0,40.0
2069/2070,7.5,20.0,27.5
2068/2069,27.5,22.5,50.0
