fiscalYear,cash,bonus,total
2080/2081,0.5004,9.5079,10.008299999999998
2079/2080,0.5,9.5,10.0
2078/2079,0.65,12.35,13.0
2077/2078,0.7,13.3,14.0
2076/2077,0.79,15.0,15.79
2075/2076,0.975,18.525,19.5
2074/2075,0.89,17.0,17.89
2073/2074,1.66,31.48,33.14
2072/2073,1.58,30.0,31.58
2071/2072,1.58,30.0,31.58
2070/2071,1.316,25.0,26.316
2069/2070,5.0,20.0,25.0
2068/2069,0.0,20.0,20.0
2067/2068,10.53,0.0,10.53
