fiscalYear,cash,bonus,total
2078/2079,0.34,6.5,6.84
2077/2078,0.5263,10.0,10.526299999999999
2076/2077,3.4,8.0,11.4
2075/2076,6.5,0.0,6.5
2074/2075,5.26,0.0,5.26
2073/2074,0.0,15.8,15.8
2072/2073,0.63,12.0,12.63
2071/2072,0.79,15.0,15.79
2070/2071,1.25,23.75,25.0
2069/2070,2.0,15.0,17.0
2068/2069,0.79,15.0,15.79
2067/2068,0.79,15.0,15.79
