fiscalYear,cash,bonus,total
2080/2081,0.7,13.3,14.0
2079/2080,0.75,14.25,15.0
2078/2079,1.3684,26.0,27.3684
2077/2078,1.3158,25.0,26.3158
2076/2077,1.3157,25.0,26.3157
2075/2076,1.434,27.25,28.684
2074/2075,1.313,25.0,26.313
2073/2074,1.316,25.0,26.316
2072/2073,1.31,25.0,26.31
2071/2072,1.31,25.0,26.31
2070/2071,15.78,0.0,15.78
2069/2070,11.31,15.0,26.310000000000002
