fiscalYear,cash,bonus,total
2078/2079,3.8,3.0,6.8
2077/2078,4.5,11.0,15.5
2076/2077,0.0,10.0,10.0
2075/2076,0.0,12.75,12.75
2074/2075,8.4,0.0,8.4
2073/2074,0.0,10.0,10.0
2072/2073,0.0,11.7,11.7
2071/2072,0.0,9.0,9.0
2070/2071,0.0,7.0,7.0
2069/2070,5.6,7.0,12.6
2067/2068,8.5,0.0,8.5
