fiscalYear,cash,bonus,total
2080/2081,0.5263,10.0,10.526299999999999
2078/2079,0.8421,16.0,16.8421
2076/2077,1.462,27.769,29.230999999999998
2073/2074,1.526,29.0,30.526
2072/2073,3.15,60.0,63.15
2071/2072,1.26,24.0,25.26
2070/2071,1.05,20.0,21.05
2069/2070,0.0,20.0,20.0
2068/2069,0.0,40.0,40.0
