fiscalYear,cash,bonus,total
2078/2079,0.58,11.0,11.58
2077/2078,1.0,19.0,20.0
2076/2077,0.1842,3.5,3.6842
2075/2076,5.0,5.0,10.0
2074/2075,3.89,4.0,7.890000000000001
2073/2074,0.23,4.5,4.73
2072/2073,0.26,5.0,5.26
