fiscalYear,cash,bonus,total
2080/2081,4.0,0.0,4.0
2079/2080,4.21,0.0,4.21
2078/2079,0.66,12.5,13.16
2077/2078,0.75,14.25,15.0
2076/2077,3.0,12.0,15.0
2075/2076,15.26,10.0,25.259999999999998
2074/2075,8.16,5.0,13.16
2073/2074,0.0,14.0,14.0
2072/2073,0.0,39.0,39.0
2071/2072,1.05,20.0,21.05
2070/2071,11.16,12.0,23.16
2069/2070,10.11,12.0,22.11
2068/2069,8.42,0.0,8.42
2067/2068,12.79,3.0,15.79
