fiscalYear,cash,bonus,total
2080/2081,7.0,8.0,15.0
2079/2080,10.0,5.0,15.0
2078/2079,3.26,22.0,25.259999999999998
2077/2078,3.0,27.0,30.0
2076/2077,7.0,22.0,29.0
2075/2076,17.21,27.11,44.32
2074/2075,22.0,18.0,40.0
2073/2074,25.11,19.89,45.0
2072/2073,12.7,40.0,52.7
2071/2072,12.7,40.0,52.7
2070/2071,10.0,35.0,45.0
2069/2070,15.0,33.23,48.23
2068/2069,17.1,25.0,42.1
2067/2068,25.0,0.0,25.0
