fiscalYear,cash,bonus,total
2078/2079,0.34,6.5,6.84
2077/2078,0.79,15.0,15.79
2076/2077,0.53,10.0,10.53
2075/2076,6.58,0.0,6.58
2074/2075,2.63,0.0,2.63
2073/2074,0.63,12.0,12.63
2072/2073,0.79,15.0,15.79
2071/2072,1.05,20.0,21.05
