fiscalYear,cash,bonus,total
2080/2081,19.0,6.5,25.5
2079/2080,19.0,0.0,19.0
2078/2079,16.51,0.0,16.51
2077/2078,3.06,10.0,13.06
2076/2077,4.84,7.0,11.84
2075/2076,22.5,0.0,22.5
2074/2075,17.5,0.0,17.5
2073/2074,5.26,100.0,105.26
2072/2073,1.75,33.33,35.08
2071/2072,19.21,25.0,44.21
2070/2071,41.5,10.0,51.5
2069/2070,40.0,10.0,50.0
2068/2069,45.0,15.0,60.0
2067/2068,50.0,0.0,50.0
