fiscalYear,cash,bonus,total
2080/2081,5.53,10,15.530000000000001
2079/2080,10.53,10,20.53
2078/2079,7.68,13,20.68
2077/2078,4.32,6,10.32
2076/2077,5.53,5,10.530000000000001
2075/2076,20.0,5,25.0
2074/2075,20.0,0,20.0
2073/2074,1.74,33,34.74
2072/2073,3.675,70,73.675
2071/2072,6.57,30,36.57
2070/2071,50.0,12,62.0
2069/2070,50.53,10,60.53
2068/2069,1.58,30,31.58
2067/2068,50.0,10,60.0
