fiscalYear,cash,bonus,total
2080/2081,5.2632,0,5.2632
2079/2080,5.7,9,14.7
2078/2079,0.98,10,10.98
2077/2078,0.8947,17,17.8947
2076/2077,3.6,10,13.6
2075/2076,11.05,10,21.05
2074/2075,14.0,0,14.0
2073/2074,0.0,16,16.0
2072/2073,0.79,15,15.79
2071/2072,1.05,20,21.05
2070/2071,0.79,15,15.79
2069/2070,0.53,10,10.53
2068/2069,5.5,0,5.5
2067/2068,6.5,0,6.5
