fiscalYear,cash,bonus,total
2080/2081,5.0,0.0,5.0
2078/2079,4.95,4.0,8.95
2077/2078,0.6313,16.0,16.6313
2076/2077,0.0,15.0,15.0
2075/2076,0.0,16.0,16.0
2074/2075,0.0,16.0,16.0
2073/2074,0.0,27.0,27.0
2072/2073,1.21,17.25,18.46
2071/2072,0.95,18.0,18.95
2070/2071,1.0,19.0,20.0
2069/2070,5.0,10.0,15.0
2068/2069,7.58,4.0,11.58
2067/2068,12.63,0.0,12.63
