fiscalYear,cash,bonus,total
2080/2081,0.1316,2.5,2.6316
2079/2080,0.2895,5.5,5.7895
2078/2079,0.5263,10.0,10.526299999999999
2077/2078,0.5263,10.0,10.526299999999999
2076/2077,0.5263,10.0,10.526299999999999
2075/2076,0.37,7.0,7.37
2073/2074,1.315,25.0,26.315
2072/2073,1.31,25.0,26.31
2071/2072,0.0,20.0,20.0
2070/2071,6.05,15.0,21.05
2069/2070,11.05,10.0,21.05
2068/2069,0.0,20.0,20.0
