fiscalYear,cash,bonus,total
2078/2079,8.25,0.0,8.25
2077/2078,3.3,12.5,15.8
2076/2077,3.2,13.0,16.2
2075/2076,14.0,21.0,35.0
2074/2075,20.0,10.0,30.0
2073/2074,0.7895,15.0,15.7895
2072/2073,1.0,19.0,20.0
2071/2072,0.42,8.0,8.42
2070/2071,1.05,20.0,21.05
2069/2070,10.0,0.0,10.0
2067/2068,9.0,0.0,9.0
