fiscalYear,cash,bonus,total
2080/2081,5,20,25
2079/2080,5,25,30
2078/2079,5,25,30
2077/2078,5,30,35
2076/2077,10,0,10
2075/2076,30,0,30
2074/2075,30,10,40
2073/2074,25,0,25
2072/2073,10,10,20
2071/2072,10,0,10
2070/2071,20,0,20
2069/2070,20,20,40
