fiscalYear,cash,bonus,total
2079/2080,0.7,13.3,14.0
2077/2078,0.7,13.3,14.0
2076/2077,3.37,7.03,10.4
2075/2076,11.0,5.0,16.0
2074/2075,10.0,0.0,10.0
2073/2074,6.0,9.0,15.0
2072/2073,1.09,20.75,21.84
2071/2072,0.84,16.0,16.84
2070/2071,0.63,12.0,12.63
