fiscalYear,cash,bonus,total
2080/2081,0.0982,1.8659,1.9641
2079/2080,5.05,0.0,5.05
2078/2079,5.2,2.4,7.6
2077/2078,3.3,7.7,11.0
2076/2077,3.16,7.37,10.530000000000001
2075/2076,10.65,2.35,13.0
2074/2075,8.77,1.23,10.0
2073/2074,0.0,26.57,26.57
2072/2073,0.55,10.5,11.05
2071/2072,0.61,11.61,12.219999999999999
2070/2071,0.63,12.0,12.63
2069/2070,10.4,10.0,20.4
2068/2069,15.79,0.0,15.79
2067/2068,7.11,15.02,22.13
