fiscalYear,cash,bonus,total
2079/2080,1.52,29,30.52
2076/2077,1.0,19,20.0
2075/2076,11.05,10,21.05
2074/2075,0.526,10,10.526
2073/2074,1.05,20,21.05
2072/2073,1.37,26,27.37
2071/2072,2.05,39,41.05
2070/2071,15.0,15,30.0
2069/2070,20.0,0,20.0
