fiscalYear,cash,bonus,total
2078/2079,0.5263,10.0,10.526299999999999
2077/2078,1.13,21.5,22.63
2076/2077,1.0,19.0,20.0
2075/2076,0.63,12.0,12.63
2074/2075,0.78,15.0,15.78
2073/2074,1.3158,25.0,26.3158
2072/2073,1.31,25.0,26.31
2071/2072,0.0,15.0,15.0
