fiscalYear,cash,bonus,total
2074/2075,22.0,12,34.0
2073/2074,18.0,30,48.0
2072/2073,15.0,30,45.0
2071/2072,6.842,30,36.842
2070/2071,45.0,20,65.0
2069/2070,40.0,25,65.0
2068/2069,40.0,20,60.0
2067/2068,30.0,0,30.0
