fiscalYear,cash,bonus,total
2080/2081,0.725,13.775,14.5
2079/2080,0.6842,13.0,13.6842
2078/2079,0.5789,11.0,11.5789
2077/2078,1.5789,30.0,31.5789
2075/2076,0.526,10.0,10.526
