fiscalYear,cash,bonus,total
2080/2081,10.0,5.0,15.0
2079/2080,10.0,4.0,14.0
2078/2079,6.5,8.0,14.5
2077/2078,0.789,15.0,15.789
2076/2077,1.0,19.0,20.0
2075/2076,0.53,10.0,10.53
2074/2075,12.0,2.5,14.5
2073/2074,0.0,13.5,13.5
2072/2073,1.32,25.0,26.32
2071/2072,1.58,30.0,31.58
2070/2071,8.0,30.0,38.0
2069/2070,17.5,55.0,72.5
2068/2069,0.0,25.0,25.0
2067/2068,1.58,30.0,31.58
