open,high,low,close,volume,date
23.54,23.54,23.19,23.19,570.0,2011-07-19 05:45:00
23.37,24.1,23.37,24.1,50.0,2011-07-20 05:45:00
23.87,24.6,23.87,24.6,301.0,2011-07-21 05:45:00
24.79,25.15,24.79,25.15,153.0,2011-07-24 05:45:00
25.33,25.33,25.33,25.33,74.0,2011-07-26 05:45:00
25.56,26.25,25.56,26.02,521.0,2011-07-27 05:45:00
26.25,26.89,26.25,26.89,328.0,2011-07-28 05:45:00
27.11,27.35,27.11,27.16,218.0,2011-07-31 05:45:00
27.38,27.38,27.16,27.16,197.0,2011-08-02 05:45:00
27.07,27.07,26.7,26.93,434.0,2011-08-15 05:45:00
27.16,27.16,26.84,26.84,318.0,2011-08-16 05:45:00
27.07,27.07,26.84,26.84,175.0,2011-08-17 05:45:00
26.61,26.61,26.61,26.61,147.0,2011-08-18 05:45:00
26.61,26.61,26.16,26.16,600.0,2011-08-22 05:45:00
26.37,26.37,26.37,26.37,10.0,2011-08-24 05:45:00
26.61,26.61,26.61,26.61,63.0,2011-08-25 05:45:00
26.37,26.37,26.16,26.16,97.0,2011-08-29 05:45:00
25.93,25.93,25.7,25.7,273.0,2011-09-04 05:45:00
25.46,25.46,25.24,25.24,270.0,2011-09-05 05:45:00
25.46,25.87,25.46,25.87,268.0,2011-09-07 05:45:00
26.11,26.16,26.11,26.16,313.0,2011-09-13 05:45:00
25.93,25.93,25.93,25.93,20.0,2011-09-15 05:45:00
25.7,25.7,25.2,25.24,443.0,2011-09-19 05:45:00
25.46,25.46,25.33,25.33,311.0,2011-09-20 05:45:00
25.56,26.47,25.56,26.47,956.0,2011-09-22 05:45:00
26.47,26.47,26.47,26.47,315.0,2011-09-25 05:45:00
26.37,26.37,26.37,26.37,80.0,2011-09-26 05:45:00
26.61,26.61,26.61,26.61,74.0,2011-10-12 05:45:00
26.56,26.79,26.56,26.79,214.0,2011-10-17 05:45:00
27.02,27.07,26.84,27.07,279.0,2011-10-18 05:45:00
27.29,27.29,27.29,27.29,114.0,2011-10-20 05:45:00
27.29,27.53,27.29,27.53,211.0,2011-10-23 05:45:00
27.29,27.53,27.29,27.53,222.0,2011-10-24 05:45:00
27.53,27.89,27.53,27.89,589.0,2011-10-25 05:45:00
27.61,27.61,27.61,27.61,100.0,2011-10-30 05:45:00
27.35,27.35,27.35,27.35,100.0,2011-10-31 05:45:00
27.56,28.11,27.56,28.11,220.0,2011-11-02 05:45:00
28.11,28.11,26.7,26.7,1119.0,2011-11-03 05:45:00
26.47,26.47,26.02,26.02,770.0,2011-11-06 05:45:00
25.97,25.97,25.97,25.97,73.0,2011-11-08 05:45:00
26.19,26.93,26.19,26.93,1712.0,2011-11-09 05:45:00
27.11,27.35,27.11,27.35,4500.0,2011-11-10 05:45:00
27.11,27.11,26.93,26.93,949.0,2011-11-13 05:45:00
26.7,26.93,26.7,26.93,1335.0,2011-11-14 05:45:00
27.16,27.16,27.16,27.16,118.0,2011-11-15 05:45:00
26.93,26.93,26.93,26.93,73.0,2011-11-21 05:45:00
26.7,26.7,26.7,26.7,78.0,2011-11-24 05:45:00
26.47,26.47,26.47,26.47,100.0,2011-12-01 05:45:00
26.66,26.66,26.43,26.43,300.0,2011-12-22 05:45:00
26.19,26.19,25.74,25.74,357.0,2011-12-26 05:45:00
25.93,26.16,25.7,25.93,11098.0,2011-12-27 05:45:00
25.74,25.84,25.7,25.7,9812.0,2011-12-28 05:45:00
26.71,26.71,25.96,26.11,7100.0,2011-12-29 05:45:00
25.96,25.96,25.96,25.96,89.0,2012-01-01 05:45:00
25.76,25.76,25.76,25.76,200.0,2012-01-03 05:45:00
25.76,25.76,25.76,25.76,20.0,2012-01-05 05:45:00
25.81,25.81,25.81,25.81,167.0,2012-01-08 05:45:00
25.81,25.86,25.81,25.86,187.0,2012-01-09 05:45:00
25.66,25.66,25.66,25.66,2400.0,2012-01-10 05:45:00
25.45,25.45,25.25,25.25,270.0,2012-01-18 05:45:00
25.05,25.05,24.85,24.85,552.0,2012-01-19 05:45:00
24.65,24.65,24.45,24.65,377.0,2012-02-01 05:45:00
24.85,25.05,24.85,25.05,285.0,2012-02-02 05:45:00
25.05,25.05,25.05,25.05,221.0,2012-02-05 05:45:00
25.25,25.25,25.25,25.25,7423.0,2012-02-12 05:45:00
25.45,25.45,25.45,25.45,274.0,2012-02-23 05:45:00
25.56,25.56,25.56,25.56,220.0,2012-03-01 05:45:00
25.76,25.96,25.76,25.76,209.0,2012-03-11 05:45:00
25.96,26.47,25.96,26.02,1086.0,2012-03-20 05:45:00
25.81,25.81,25.41,25.41,40.0,2012-04-01 05:45:00
25.2,25.2,25.2,25.2,10.0,2012-04-04 05:45:00
25.3,25.41,25.3,25.41,987.0,2012-04-05 05:45:00
25.41,25.41,25.41,25.41,110.0,2012-04-08 05:45:00
25.45,25.51,25.45,25.51,220.0,2012-04-09 05:45:00
25.71,25.71,25.71,25.71,20.0,2012-04-12 05:45:00
25.91,26.11,25.91,26.11,40.0,2012-04-15 05:45:00
26.32,26.32,26.32,26.32,10.0,2012-04-17 05:45:00
26.52,26.78,26.52,26.78,1040.0,2012-04-18 05:45:00
27.02,27.53,27.02,27.53,50.0,2012-04-19 05:45:00
27.78,28.03,27.78,28.03,240.0,2012-04-22 05:45:00
28.28,28.54,28.28,28.54,30.0,2012-04-24 05:45:00
28.79,28.79,28.79,28.79,309.0,2012-04-26 05:45:00
29.04,29.04,29.04,29.04,500.0,2012-04-29 05:45:00
28.74,28.74,28.74,28.74,54.0,2012-04-30 05:45:00
29.0,29.0,29.0,29.0,20.0,2012-05-09 05:45:00
28.74,28.94,28.69,28.94,600.0,2012-05-10 05:45:00
29.19,29.81,29.19,29.81,70.0,2012-05-13 05:45:00
29.5,29.5,29.5,29.5,500.0,2012-05-15 05:45:00
29.81,29.81,29.81,29.81,33.0,2012-05-16 05:45:00
29.81,29.81,29.81,29.81,20.0,2012-05-21 05:45:00
29.5,29.81,29.19,29.5,851.0,2012-05-22 05:45:00
29.19,29.19,28.64,28.64,77.0,2012-05-23 05:45:00
28.39,28.49,27.88,28.13,1130.0,2012-05-24 05:45:00
27.94,27.94,27.94,27.94,220.0,2012-05-27 05:45:00
27.68,27.68,26.71,26.71,190.0,2012-05-29 05:45:00
26.98,27.48,26.98,27.48,408.0,2012-06-05 05:45:00
27.73,27.73,27.73,27.73,167.0,2012-06-13 05:45:00
27.48,27.48,27.48,27.48,366.0,2012-06-17 05:45:00
27.23,27.48,27.23,27.48,234.0,2012-06-18 05:45:00
27.63,27.63,27.58,27.58,650.0,2012-06-20 05:45:00
27.73,27.73,27.73,27.73,500.0,2012-06-21 05:45:00
27.48,27.48,27.48,27.48,257.0,2012-06-28 05:45:00
27.73,27.99,27.73,27.99,34.0,2012-07-04 05:45:00
28.25,28.49,28.25,28.49,60.0,2012-07-05 05:45:00
28.74,28.74,28.74,28.74,30.0,2012-07-09 05:45:00
28.49,28.49,28.44,28.44,300.0,2012-07-12 05:45:00
28.18,28.18,27.99,27.99,1420.0,2012-07-15 05:45:00
27.99,27.99,27.99,27.99,110.0,2012-07-16 05:45:00
28.25,28.25,28.25,28.25,110.0,2012-07-18 05:45:00
28.49,28.49,28.49,28.49,37.0,2012-07-19 05:45:00
28.74,29.3,28.74,29.3,97.0,2012-07-22 05:45:00
29.0,29.0,28.69,28.69,170.0,2012-07-24 05:45:00
28.94,28.94,28.94,28.94,30.0,2012-07-26 05:45:00
28.94,29.3,28.69,29.3,487.0,2012-07-30 05:45:00
29.0,29.61,29.0,29.3,337.0,2012-08-06 05:45:00
29.0,29.04,29.0,29.04,220.0,2012-08-12 05:45:00
29.04,29.04,29.04,29.04,100.0,2012-08-13 05:45:00
29.04,29.04,29.04,29.04,500.0,2012-08-14 05:45:00
28.74,28.74,28.74,28.74,100.0,2012-08-15 05:45:00
28.74,28.74,28.74,28.74,500.0,2012-08-19 05:45:00
28.69,28.69,28.25,28.25,1330.0,2012-08-22 05:45:00
27.99,27.99,27.73,27.73,1110.0,2012-08-23 05:45:00
27.48,27.48,26.98,26.98,209.0,2012-08-28 05:45:00
27.23,27.23,27.23,27.23,100.0,2012-09-04 05:45:00
27.48,27.48,27.48,27.48,10.0,2012-09-09 05:45:00
27.48,27.48,27.48,27.48,100.0,2012-09-10 05:45:00
27.23,27.48,27.23,27.48,110.0,2012-09-13 05:45:00
27.48,27.48,27.48,27.48,163.0,2012-09-16 05:45:00
27.73,28.85,27.73,28.85,741.0,2012-09-17 05:45:00
29.1,30.31,29.1,30.31,631.0,2012-09-18 05:45:00
30.61,31.22,30.61,31.22,40.0,2012-09-19 05:45:00
30.92,30.92,30.92,30.92,300.0,2012-09-23 05:45:00
30.61,30.61,29.71,29.71,310.0,2012-09-26 05:45:00
29.4,29.4,29.4,29.4,34.0,2012-10-01 05:45:00
29.1,29.1,28.79,29.04,898.0,2012-10-09 05:45:00
28.74,28.74,28.25,28.25,1074.0,2012-10-10 05:45:00
27.99,27.99,27.78,27.78,203.0,2012-10-14 05:45:00
27.63,27.88,27.63,27.88,733.0,2012-10-30 05:45:00
28.13,28.28,28.13,28.13,113.0,2012-10-31 05:45:00
27.94,27.94,27.94,27.94,10.0,2012-11-07 05:45:00
27.99,28.18,27.94,28.18,3879.0,2012-11-11 05:45:00
28.28,28.28,28.28,28.28,55.0,2012-11-20 05:45:00
28.54,28.54,28.54,28.54,50.0,2012-11-21 05:45:00
28.39,28.39,28.13,28.13,1100.0,2012-11-25 05:45:00
28.13,28.39,28.13,28.39,189.0,2012-11-27 05:45:00
28.49,28.49,28.49,28.49,100.0,2012-11-28 05:45:00
28.74,29.25,28.74,29.25,1830.0,2012-11-29 05:45:00
29.54,29.61,29.25,29.25,493.0,2012-12-02 05:45:00
29.54,29.85,28.94,29.0,1091.0,2012-12-03 05:45:00
29.19,29.19,29.19,29.19,100.0,2012-12-04 05:45:00
29.19,29.19,28.89,28.89,294.0,2012-12-05 05:45:00
28.74,28.74,28.49,28.54,513.0,2012-12-06 05:45:00
28.74,28.74,28.54,28.54,411.0,2012-12-09 05:45:00
28.79,28.79,28.74,28.74,400.0,2012-12-10 05:45:00
29.0,29.0,29.0,29.0,229.0,2012-12-11 05:45:00
28.74,28.79,28.69,28.74,1300.0,2012-12-12 05:45:00
28.49,28.89,28.49,28.74,1613.0,2012-12-13 05:45:00
29.0,29.0,29.0,29.0,190.0,2012-12-16 05:45:00
29.0,29.0,29.0,29.0,700.0,2012-12-17 05:45:00
29.3,29.3,29.3,29.3,31.0,2012-12-19 05:45:00
29.0,29.0,29.0,29.0,50.0,2012-12-20 05:45:00
29.3,30.51,29.3,30.51,177.0,2012-12-23 05:45:00
30.37,31.01,30.26,31.01,1930.0,2012-12-24 05:45:00
30.71,30.71,30.1,30.1,196.0,2012-12-26 05:45:00
29.81,29.81,29.76,29.76,3091.0,2012-12-27 05:45:00
29.76,29.76,29.45,29.45,600.0,2012-12-31 05:45:00
29.45,29.45,28.94,29.1,5919.0,2013-01-01 05:45:00
30.03,30.03,29.76,29.76,64.0,2013-01-03 05:45:00
29.49,30.26,29.49,30.26,620.0,2013-01-09 05:45:00
30.58,31.57,30.58,31.57,169.0,2013-01-10 05:45:00
31.57,32.22,31.01,32.11,10997.0,2013-01-13 05:45:00
31.78,31.78,31.45,31.45,3150.0,2013-01-15 05:45:00
31.12,31.45,31.12,31.45,210.0,2013-01-16 05:45:00
31.12,31.12,31.12,31.12,100.0,2013-01-17 05:45:00
30.8,30.8,30.8,30.8,10.0,2013-01-23 05:45:00
30.47,30.47,30.47,30.47,10.0,2013-01-28 05:45:00
30.14,30.14,29.87,29.87,147.0,2013-02-04 05:45:00
29.6,29.6,29.6,29.6,120.0,2013-02-10 05:45:00
29.6,29.87,29.6,29.71,1847.0,2013-02-12 05:45:00
29.49,29.49,29.49,29.49,10.0,2013-02-13 05:45:00
29.6,29.6,29.6,29.6,73.0,2013-02-14 05:45:00
29.82,29.82,29.82,29.82,10.0,2013-02-19 05:45:00
29.54,29.54,29.54,29.54,20.0,2013-02-20 05:45:00
29.27,29.54,29.27,29.54,331.0,2013-02-24 05:45:00
29.27,29.27,29.27,29.27,110.0,2013-02-26 05:45:00
29.0,29.27,29.0,29.0,714.0,2013-03-04 05:45:00
28.72,29.82,28.72,29.54,180.0,2013-03-05 05:45:00
29.27,29.43,29.16,29.43,300.0,2013-03-07 05:45:00
29.21,29.6,29.21,29.6,500.0,2013-03-11 05:45:00
29.87,29.87,29.87,29.87,10.0,2013-03-14 05:45:00
29.6,29.6,29.32,29.32,500.0,2013-03-18 05:45:00
29.21,29.21,29.16,29.16,1214.0,2013-03-19 05:45:00
28.93,28.93,28.93,28.93,134.0,2013-03-24 05:45:00
29.21,29.21,29.21,29.21,294.0,2013-04-01 05:45:00
29.21,29.49,29.21,29.49,182.0,2013-04-02 05:45:00
29.43,29.43,29.43,29.43,300.0,2013-04-09 05:45:00
29.71,30.96,29.71,30.96,5045.0,2013-04-11 05:45:00
30.8,31.08,30.8,31.08,400.0,2013-04-15 05:45:00
30.8,31.08,30.8,30.91,1133.0,2013-04-16 05:45:00
