stock_name,doubling_date,price_at_detection,price_after_lookahead,multiplier,years_of_data,days_to_target
CIT,2020-12-13,1285.41,1929.58,1.501,5.0,30
CITY,2024-06-23,676.0,1062.3,1.571,2.0,30
CORBL,2020-12-06,139.81,214.1,1.531,5.0,30
CORBL,2021-11-30,398.44,603.81,1.515,5.0,30
CORBL,2022-06-23,215.24,335.24,1.558,5.0,30
CORBL,2024-07-17,632.0,965.3,1.527,5.0,30
CORBL,2024-09-30,835.0,1255.1,1.503,5.0,30
CORBL,2024-12-11,1637.1,2480.0,1.515,5.0,30
CYCL,2024-02-25,1102.0,1724.8,1.565,3.0,30
CZBIL,2024-06-16,161.54,251.06,1.554,5.0,30
DDBL,2020-10-13,465.43,732.88,1.575,5.0,30
DDBL,2020-12-24,779.36,1203.21,1.544,5.0,30
DHPL,2021-03-30,118.0,187.0,1.585,5.0,30
DHPL,2021-07-04,265.0,401.0,1.513,5.0,30
DHPL,2023-11-29,146.0,229.1,1.569,5.0,30
DLBS,2023-10-30,600.0,1009.8,1.683,2.7,30
DLBS,2024-02-05,790.0,1280.0,1.62,2.7,30
DOLTI,2023-10-18,210.0,330.5,1.574,2.0,30
DOLTI,2024-07-07,424.0,660.1,1.557,2.0,30
DOLTI,2024-12-05,604.0,925.1,1.532,2.0,30
DORDI,2023-11-28,156.55,236.5,1.511,2.9,30
EDBL,2021-04-26,338.45,512.01,1.513,5.0,30
EDBL,2021-07-01,521.35,782.37,1.501,5.0,30
EDBL,2025-01-01,550.3,838.2,1.523,5.0,30
EHPL,2024-08-15,633.0,997.0,1.575,2.5,30
FMDBL,2020-12-27,375.53,579.6,1.543,5.0,30
FMDBL,2021-07-04,518.96,779.75,1.503,5.0,30
GBBL,2021-04-25,236.18,360.2,1.525,5.0,30
GBIME,2021-01-04,263.4,412.5,1.566,5.0,30
GBIME,2024-07-03,171.18,268.25,1.567,5.0,30
GBLBS,2020-12-24,575.0,899.0,1.563,5.0,30
GFCL,2020-12-28,175.03,263.98,1.508,5.0,30
GFCL,2021-04-06,240.15,362.97,1.511,5.0,30
GFCL,2021-06-29,499.54,754.35,1.51,5.0,30
GFCL,2022-06-23,365.0,561.0,1.537,5.0,30
GFCL,2024-06-12,483.0,725.0,1.501,5.0,30
GHL,2021-05-02,122.0,184.0,1.508,5.0,30
GHL,2021-07-05,158.33,240.33,1.518,5.0,30
GHL,2023-12-03,124.2,189.0,1.522,5.0,30
GHL,2024-06-27,147.3,234.2,1.59,5.0,30
GHL,2025-01-27,207.8,312.0,1.501,5.0,30
GILB,2020-12-27,912.77,1476.71,1.618,5.0,30
GILB,2024-04-18,965.0,1540.0,1.596,5.0,30
GLBSL,2020-12-09,550.72,835.8,1.518,5.0,30
GLBSL,2023-12-04,532.17,828.01,1.556,5.0,30
GLBSL,2024-02-04,726.48,1199.82,1.652,5.0,30
GLBSL,2024-09-22,1585.21,2528.9,1.595,5.0,30
GLH,2021-06-21,379.0,577.2,1.523,4.3,30
GLH,2024-06-30,205.8,316.0,1.535,4.3,30
GMFBS,2020-12-06,625.5,1016.45,1.625,5.0,30
GMFBS,2024-05-26,1226.0,1867.2,1.523,5.0,30
GMFIL,2021-04-07,193.77,301.32,1.555,5.0,30
GMFIL,2021-07-06,374.73,571.92,1.526,5.0,30
GMFIL,2022-06-21,236.62,355.59,1.503,5.0,30
GMFIL,2024-06-19,412.0,659.2,1.6,5.0,30
GRDBL,2021-04-04,153.05,233.22,1.524,5.0,30
GRDBL,2021-06-28,298.81,455.51,1.524,5.0,30
GRDBL,2022-06-24,180.38,276.04,1.53,5.0,30
GRDBL,2024-07-08,465.25,728.13,1.565,5.0,30
GRDBL,2024-10-09,675.65,1067.23,1.58,5.0,30
GRDBL,2024-12-09,952.34,1470.45,1.544,5.0,30
GUFL,2020-12-06,189.0,320.0,1.693,5.0,30
GUFL,2021-04-15,500.0,755.0,1.51,5.0,30
GUFL,2022-06-19,371.5,596.0,1.604,5.0,30
GUFL,2024-02-01,548.6,863.5,1.574,5.0,30
GVL,2022-11-30,268.18,415.73,1.55,3.2,30
HBL,2024-06-13,184.0,278.8,1.515,5.0,30
HDHPC,2021-04-15,128.0,197.14,1.54,5.0,30
HDHPC,2021-07-05,194.86,294.29,1.51,5.0,30
HDHPC,2024-06-27,125.8,203.2,1.615,5.0,30
HDL,2020-09-29,333.7,551.1,1.651,5.0,30
HDL,2020-11-29,677.58,1199.89,1.771,5.0,30
HDL,2021-12-08,1595.15,2394.77,1.501,5.0,30
HHL,2023-10-31,201.9,323.0,1.6,2.9,30
HIDCL,2021-05-16,289.24,447.97,1.549,5.0,30
HIDCL,2024-06-20,160.9,257.4,1.6,5.0,30
HLBSL,2020-12-22,596.87,915.78,1.534,5.0,30
HLBSL,2023-05-14,535.0,830.0,1.551,5.0,30
HLBSL,2024-03-28,688.3,1060.4,1.541,5.0,30
HLI,2024-06-30,323.68,505.61,1.562,5.0,30
HPPL,2020-12-27,222.0,343.0,1.545,5.0,30
HPPL,2021-06-21,393.0,596.0,1.517,5.0,30
HPPL,2022-12-20,230.0,353.9,1.539,5.0,30
HPPL,2024-12-16,388.0,589.0,1.518,5.0,30
